Rank,Name,Net Worth (billions),Age,Source,Country of Citizenship,Net Worth
#1561,Li Yihai,$1.5 B,55,pharmaceuticals,China,1.5
#1561,Li Yong,$1.5 B,41,chemicals,China,1.5
#1561,Lin Ming-hsiung,$1.5 B,68,supermarkets,Taiwan,1.5
#1561,Lou Zhongfu,$1.5 B,64,real estate,China,1.5
#1561,Low Tuck Kwong,$1.5 B,70,coal,Indonesia,1.5
#1561,P.N.C. Menon,$1.5 B,69,real estate,Oman,1.5
#1561,Thomas Meyer,$1.5 B,58,apparel retailer,Switzerland,1.5
#1561,Ezra Nahmad,$1.5 B,72,art,Monaco,1.5
#1561,Judith Neilson,$1.5 B,72,investments,Australia,1.5
#1561,Madeleine Olsson Ericksson,$1.5 B,73,diversified,Sweden,1.5
#1561,Ou Zonghong,$1.5 B,48,real estate,China,1.5
#1561,Eren Ozmen,$1.5 B,59,aerospace,United States,1.5
#1561,Fatih Ozmen,$1.5 B,60,aerospace,United States,1.5
#1561,Jose Isaac Peres,$1.5 B,77,shopping malls,Brazil,1.5
#1561,Mark Pincus,$1.5 B,52,online games,United States,1.5
#1561,Kevin Plank,$1.5 B,45,Under Armour,United States,1.5
#1561,"Nicholas Pritzker, II.",$1.5 B,74,"hotels, investments",United States,1.5
#1561,Que Wenbin,$1.5 B,54,pharmaceuticals,China,1.5
#1561,Jorge Rodriguez Rodriguez,$1.5 B,72,processed milk,Peru,1.5
#1561,Nobutada Saji,$1.5 B,72,beverages,Japan,1.5
#1561,Thomas Sandell,$1.5 B,57,hedge funds,Sweden,1.5
#1561,Eddy Kusnadi Sariaatmadja,$1.5 B,64,"media, tech",Indonesia,1.5
#1561,Fayez Sarofim,$1.5 B,89,money management,United States,1.5
#1561,Monika Schoeller,$1.5 B,79,publishing,Germany,1.5
#1561,Antonio Luiz Seabra,$1.5 B,75,cosmetics,Brazil,1.5
#1561,Yuri Shefler,$1.5 B,50,alcohol,Russia,1.5
#1561,Rajju Shroff,$1.5 B,84,agrochemicals,India,1.5
#1561,Frank Stronach,$1.5 B,85,auto parts,Canada,1.5
#1561,Kevin Systrom,$1.5 B,34,Instagram,United States,1.5
#1561,Tang Hsiang-chien,$1.5 B,95,"textiles, electronics",Hong Kong,1.5
#1561,Tang Jianfang,$1.5 B,-,packaged foods,China,1.5
#1561,Ning Tang,$1.5 B,44,online lending,China,1.5
#1561,Jim Thompson,$1.5 B,78,logistics,United States,1.5
#1561,Jonathan Tisch,$1.5 B,64,"insurance, NFL team",United States,1.5
#1561,Kenneth Tuchman,$1.5 B,58,outsourcing,United States,1.5
#1561,Wim van der Leegte,$1.5 B,70,manufacturing,Netherlands,1.5
#1561,Shamsheer Vayalil,$1.5 B,41,healthcare,India,1.5
#1561,Thongma Vijitpongpun,$1.5 B,60,real estate,Thailand,1.5
#1561,Arkady Volozh,$1.5 B,54,search engine,Russia,1.5
#1561,Stefan von Holtzbrinck,$1.5 B,55,publishing,Germany,1.5
#1561,Wang Jiufang,$1.5 B,54,real estate,China,1.5
#1561,Wong Hong King,$1.5 B,56,real estate,China,1.5
#1561,Ian Wood,$1.5 B,75,energy services,United Kingdom,1.5
#1561,Xiao Chunhong,$1.5 B,50,real estate,China,1.5
#1561,Jacky Xu,$1.5 B,46,apparel,St. Kitts and Nevis,1.5
#1561,Zhang Hongwei,$1.5 B,63,"oil, banking",China,1.5
#1561,Zhang Tao,$1.5 B,45,e-commerce,China,1.5
#1650,Anu Aga,$1.4 B,75,engineering,India,1.4
#1650,Farkhad Akhmedov,$1.4 B,62,investments,Russia,1.4
#1650,Alberto Alcocer,$1.4 B,75,investments,Spain,1.4
#1650,Bassam Alghanim,$1.4 B,66,diversified,Kuwait,1.4
#1650,Kutayba Alghanim,$1.4 B,72,diversified,Kuwait,1.4
#1650,Alexandra Andresen,$1.4 B,21,investments,Norway,1.4
#1650,Katharina Andresen,$1.4 B,23,investments,Norway,1.4
#1650,Vasily Anisimov,$1.4 B,66,real estate,Russia,1.4
#1650,Mori Arkin,$1.4 B,65,pharmaceuticals,Israel,1.4
#1650,Nigel Austin,$1.4 B,47,retailing,Australia,1.4
#1650,Krishna Kumar Bangur,$1.4 B,57,graphite electrodes,India,1.4
#1650,Herb Chambers,$1.4 B,76,car dealerships,United States,1.4
#1650,R.G. Chandramogan,$1.4 B,69,dairy,India,1.4
#1650,Chang Pyung-Soon,$1.4 B,67,educational services,South Korea,1.4
#1650,Chao Teng-hsiung,$1.4 B,74,real estate,Taiwan,1.4
#1650,Chen Liying,$1.4 B,42,package delivery,China,1.4
#1650,Chen Tianqiao,$1.4 B,45,online games,China,1.4
#1650,Henry Cheng,$1.4 B,71,property,Hong Kong,1.4
#1650,Chey Ki-Won,$1.4 B,53,"computer services, telecom",South Korea,1.4
#1650,Chi Yufeng,$1.4 B,47,software,China,1.4
#1650,Chua Thian Poh,$1.4 B,69,real estate,Singapore,1.4
#1650,Chung Yong-Jin,$1.4 B,49,retail,South Korea,1.4
#1650,Ciputra,$1.4 B,86,real estate,Indonesia,1.4
#1650,Alberto Cortina,$1.4 B,72,investments,Spain,1.4
#1650,"Robert Coyiuto, Jr.",$1.4 B,65,power,Philippines,1.4
#1650,Maria Del Pino y Calvo-Sotelo,$1.4 B,62,construction,Spain,1.4
#1650,K. Dinesh,$1.4 B,64,software services,India,1.4
#1650,Du Weimin,$1.4 B,54,vaccines,China,1.4
#1650,John Edson,$1.4 B,86,leisure craft,United States,1.4
#1650,David Einhorn,$1.4 B,49,hedge funds,United States,1.4
#1650,Bob Ell,$1.4 B,73,real estate,Australia,1.4
#1650,Gary Fegel,$1.4 B,44,"commodities, investments",Switzerland,1.4
#1650,Victor Fung,$1.4 B,72,trading company,United States,1.4
#1650,William Fung,$1.4 B,69,sourcing,Hong Kong,1.4
#1650,Alan Gerry,$1.4 B,89,cable television,United States,1.4
#1650,Balkrishan Goenka,$1.4 B,51,textiles,India,1.4
#1650,Polys Haji-Ioannou,$1.4 B,58,EasyJet,Cyprus,1.4
#1650,Mehmet Hattat,$1.4 B,72,diversified,Turkey,1.4
#1650,J. Tomilson Hill,$1.4 B,70,investments,United States,1.4
#1650,Eduardo Hochschild,$1.4 B,54,mining,Peru,1.4
#1650,Hoi Kin Hong,$1.4 B,65,real estate,Macau,1.4
#1650,Hur Young-In,$1.4 B,69,"bakeries, fast food",South Korea,1.4
#1650,George Joseph,$1.4 B,96,insurance,United States,1.4
#1650,Ronald Joyce,$1.4 B,87,coffee chain,Canada,1.4
#1650,T.S. Kalyanaraman,$1.4 B,71,jewelry,India,1.4
#1650,Nimesh Kampani,$1.4 B,71,investment banking,India,1.4
#1650,Eugene Kaspersky,$1.4 B,52,software,Russia,1.4
#1650,Viktor Kharitonin,$1.4 B,45,pharmaceuticals,Russia,1.4
#1650,Pyotr Kondrashev,$1.4 B,68,investments,Russia,1.4
#1650,Yuri Kovalchuk,$1.4 B,66,"banking, insurance, media",Russia,1.4
#1650,Kagemasa Kozuki,$1.4 B,77,video games,Japan,1.4
#1650,Michael Krasny,$1.4 B,64,retail,United States,1.4
#1650,James Leininger,$1.4 B,73,medical products,United States,1.4
#1650,Li Guoqiang,$1.4 B,54,auto dealerships,China,1.4
#1650,Li Liangbin,$1.4 B,50,lithium,China,1.4
#1650,Liu Ko-chen,$1.4 B,64,Manufacturing,Taiwan,1.4
#1650,Anatoly Lomakin,$1.4 B,65,investments,Russia,1.4
#1650,Ma Hong,$1.4 B,50,fashion retail,China,1.4
#1650,Gary Magness,$1.4 B,64,"cable TV, investments",United States,1.4
#1650,Youssef Mansour,$1.4 B,73,diversified,Egypt,1.4
#1650,Strive Masiyiwa,$1.4 B,57,telecom,Zimbabwe,1.4
#1650,Dariusz Milek,$1.4 B,50,"real estate, retail",Poland,1.4
#1650,Nan Cunhui,$1.4 B,54,power equipment,China,1.4
#1650,Dinesh Nandwana,$1.4 B,55,software services,India,1.4
#1650,Oei Hong Leong,$1.4 B,70,investments,Singapore,1.4
#1650,Rubens Ometto Silveira Mello,$1.4 B,68,"sugar, ethanol",Brazil,1.4
#1650,Ou Xueming,$1.4 B,69,real estate,China,1.4
#1650,Markus Persson,$1.4 B,39,computer games,Sweden,1.4
#1650,Victor Pinchuk,$1.4 B,57,"steel pipes, diversified",Ukraine,1.4
#1650,Alberto Prada,$1.4 B,-,luxury goods,Italy,1.4
#1650,Marina Prada,$1.4 B,-,luxury goods,Italy,1.4
#1650,Forrest Preston,$1.4 B,85,health care,United States,1.4
#1650,Jerry Reinsdorf,$1.4 B,82,sports teams,United States,1.4
#1650,Fernando Roig,$1.4 B,70,supermarkets,Spain,1.4
#1650,Subhash Runwal,$1.4 B,75,real estate,India,1.4
#1650,Yoshiyuki Sankai,$1.4 B,59,robotics,Japan,1.4
#1650,Kirill Shamalov,$1.4 B,36,petrochemicals,Russia,1.4
#1650,Shin Dong-Bin,$1.4 B,63,retail,South Korea,1.4
#1650,Evgeny (Eugene) Shvidler,$1.4 B,54,"oil & gas, investments",United States,1.4
#1650,Jasminder Singh,$1.4 B,67,hotels,United Kingdom,1.4
#1650,Martua Sitorus,$1.4 B,58,palm oil,Indonesia,1.4
#1650,Peter Sperling,$1.4 B,58,education,United States,1.4
#1650,Jerzy Starak,$1.4 B,70,pharmaceuticals,Poland,1.4
#1650,Manny Stul,$1.4 B,69,toys,Australia,1.4
#1650,Su Rubo,$1.4 B,63,real estate,China,1.4
#1650,Fuat Tosyali,$1.4 B,55,steel,Turkey,1.4
#1650,Kenny Troutt,$1.4 B,70,telecom,United States,1.4
#1650,Rufino Vigil Gonzalez,$1.4 B,70,steel,Mexico,1.4
#1650,Wang Jianfeng,$1.4 B,48,auto parts,China,1.4
#1650,Wang Jing,$1.4 B,45,telecom services,China,1.4
#1650,Wang Qunbin,$1.4 B,48,conglomerate,China,1.4
#1650,Dan Wilks,$1.4 B,62,natural gas,United States,1.4
#1650,Farris Wilks,$1.4 B,66,natural gas,United States,1.4
#1650,Thomas Wu,$1.4 B,68,finance,Taiwan,1.4
#1650,Yi Zheng,$1.4 B,47,software,China,1.4
#1650,Yuan Fugen,$1.4 B,67,metal processing,China,1.4
#1650,"Richard Yuengling, Jr.",$1.4 B,75,beer,United States,1.4
#1650,Gavril Yushvaev,$1.4 B,60,"precious metals, real estate",Russia,1.4
#1650,Zeng Kaitian,$1.4 B,43,online games,China,1.4
#1650,Zhang Wanzhen,$1.4 B,68,electronic components,China,1.4
#1650,Zhang Yubai,$1.4 B,53,wine,China,1.4
#1650,Changpeng Zhao,$1.4 B,-,cryptocurrency,China,1.4
#1650,Zhou Yifeng,$1.4 B,49,chemicals,China,1.4
#1650,Zhou Yongli,$1.4 B,63,conglomerate,China,1.4
#1650,Zhu Wenchen,$1.4 B,52,pharmaceuticals,China,1.4
#1650,Ahmet Nazif Zorlu,$1.4 B,73,diversified,Turkey,1.4
#1756,Len Ainsworth,$1.3 B,94,betting machines,Australia,1.3
#1756,Edmund Ansin,$1.3 B,82,television,United States,1.3
#1756,Markus Blocher,$1.3 B,47,chemicals,Switzerland,1.3
#1756,Leonid Boguslavsky,$1.3 B,67,venture capital,Russia,1.3
#1756,Jorge Horacio Brito,$1.3 B,65,banking,Argentina,1.3
#1756,Saket Burman,$1.3 B,41,consumer goods,United Kingdom,1.3
#1756,Steve Case,$1.3 B,59,AOL,United States,1.3
#1756,Jeffrey Cheah,$1.3 B,73,property,Malaysia,1.3
#1756,Bruce Cheng,$1.3 B,82,electronics,Taiwan,1.3
#1756,Cheng Xianfeng,$1.3 B,49,pharmaceuticals,China,1.3
#1756,Ivan Chrenko,$1.3 B,50,real estate,Slovakia,1.3
#1756,Eduardo Cojuangco,$1.3 B,83,"food, drinks",Philippines,1.3
#1756,Brunello Cucinelli,$1.3 B,64,fashion,Italy,1.3
#1756,Darwin Deason,$1.3 B,78,Xerox,United States,1.3
#1756,Andrea Della Valle,$1.3 B,52,shoes,Italy,1.3
#1756,Jamie Dimon,$1.3 B,62,banking,United States,1.3
#1756,Charles Dunstone,$1.3 B,54,mobile phones,United Kingdom,1.3
#1756,Bruce Flatt,$1.3 B,53,money management,Canada,1.3
#1756,Fu Meicheng,$1.3 B,60,"TV shows, movies",China,1.3
#1756,Soichiro Fukutake,$1.3 B,72,education,Japan,1.3
#1756,Don Gao,$1.3 B,53,power tools,China,1.3
#1756,Gao Yunfeng,$1.3 B,51,industrial lasers,China,1.3
#1756,Anne Gittinger,$1.3 B,82,Nordstrom department stores,United States,1.3
#1756,Clelia Haji-Ioannou,$1.3 B,47,EasyJet,Cyprus,1.3
#1756,John Hancock,$1.3 B,42,trust fund,Australia,1.3
#1756,Ronnen Harary,$1.3 B,46,toys,Canada,1.3
#1756,Ayman Hariri,$1.3 B,40,"construction, investments",Lebanon,1.3
#1756,Fahd Hariri,$1.3 B,37,"construction, investments",Lebanon,1.3
#1756,Surendra Hiranandani,$1.3 B,63,real estate,Cyprus,1.3
#1756,Alan Howard,$1.3 B,54,hedge funds,United Kingdom,1.3
#1756,Hu Keqin,$1.3 B,60,chemicals,China,1.3
#1756,Archie Hwang,$1.3 B,-,semiconductors,Taiwan,1.3
#1756,Irwin Jacobs,$1.3 B,84,semiconductors,United States,1.3
#1756,Mitchell Jacobson,$1.3 B,67,industrial equipment,United States,1.3
#1756,Rana Kapoor,$1.3 B,60,banking,India,1.3
#1756,Alexander Karp,$1.3 B,50,software firm,United States,1.3
#1756,Raghuvinder Kataria,$1.3 B,69,diversified,United Kingdom,1.3
#1756,Habil Khorakiwala,$1.3 B,75,pharmaceuticals,India,1.3
#1756,Sidney Kimmel,$1.3 B,90,retail,United States,1.3
#1756,Andre Koo,$1.3 B,51,financial services,Taiwan,1.3
#1756,Koo Bon-Neung,$1.3 B,69,electronics,South Korea,1.3
#1756,Andrei Kosogov,$1.3 B,57,"oil, banking, telecom",Russia,1.3
#1756,Lee Ho-Jin,$1.3 B,55,diversified,South Korea,1.3
#1756,Solomon Lew,$1.3 B,73,retail,Australia,1.3
#1756,Rodney Lewis,$1.3 B,63,natural gas,United States,1.3
#1756,Li Jiaquan,$1.3 B,54,chemicals,China,1.3
#1756,Lin Fanlian,$1.3 B,57,gas,China,1.3
#1756,Lin Jianhua,$1.3 B,55,solar panel components,China,1.3
#1756,Lin Tianfu,$1.3 B,55,"footwear, apparel",Hong Kong,1.3
#1756,Louise Lindh,$1.3 B,38,investments,Sweden,1.3
#1756,Liu Baolin,$1.3 B,65,pharmacies,China,1.3
#1756,Jose Llado Fernandez-Urrutia,$1.3 B,84,construction,Spain,1.3
#1756,Lu Di,$1.3 B,-,drones,China,1.3
#1756,"Cargill MacMillan, III.",$1.3 B,58,Cargill,United States,1.3
#1756,John MacMillan,$1.3 B,68,Cargill,United States,1.3
#1756,Martha MacMillan,$1.3 B,66,Cargill,United States,1.3
#1756,William MacMillan,$1.3 B,64,Cargill,United States,1.3
#1756,Katarina Martinson,$1.3 B,37,investments,Sweden,1.3
#1756,Craig Newmark,$1.3 B,65,Craigslist,United States,1.3
#1756,Bruce Nordstrom,$1.3 B,84,Nordstrom department stores,United States,1.3
#1756,Pierre Karl P_ladeau,$1.3 B,56,media,Canada,1.3
#1756,David Penaloza Alanis,$1.3 B,44,toll roads,Mexico,1.3
#1756,Andreas Pohl,$1.3 B,53,mutual funds,Germany,1.3
#1756,"Reinfried Pohl, Jr.",$1.3 B,58,mutual funds,Germany,1.3
#1756,Mahendra Prasad,$1.3 B,78,pharmaceuticals,India,1.3
#1756,Anton Rabie,$1.3 B,46,toys,Canada,1.3
#1756,Bianca Rinehart,$1.3 B,41,trust fund,Australia,1.3
#1756,Ginia Rinehart,$1.3 B,31,trust fund,Australia,1.3
#1756,Alexander Rovt,$1.3 B,65,"fertilizer, real estate",United States,1.3
#1756,Lily Safra,$1.3 B,80,banking,Monaco,1.3
#1756,Deniz Sahenk,$1.3 B,72,diversified,Turkey,1.3
#1756,Karin Schick,$1.3 B,-,information technology,Germany,1.3
#1756,Leonard Schleifer,$1.3 B,65,pharmaceuticals,United States,1.3
#1756,Dieter Schnabel,$1.3 B,72,chemicals,Germany,1.3
#1756,Bhadresh Shah,$1.3 B,66,engineering,India,1.3
#1756,Shao Qinxiang,$1.3 B,63,diversified,China,1.3
#1756,Eric Ya Shen,$1.3 B,47,online apparel retail,China,1.3
#1756,Nobutoshi Shimamura,$1.3 B,92,retail,Japan,1.3
#1756,Shum Chiu Hung,$1.3 B,48,real estate,China,1.3
#1756,Helmut Sohmen,$1.3 B,78,shipping,Austria,1.3
#1756,Sun Qinghuan,$1.3 B,45,lighting,China,1.3
#1756,Sun Yinhuan,$1.3 B,68,real estate,China,1.3
#1756,Djoko Susanto,$1.3 B,68,supermarkets,Indonesia,1.3
#1756,Erol Tabanca,$1.3 B,61,Construction,Turkey,1.3
#1756,Alexander Tedja,$1.3 B,72,real estate,Indonesia,1.3
#1756,Wilma Tisch,$1.3 B,90,diversified,United States,1.3
#1756,Ayhan Tosyali,$1.3 B,54,steel,Turkey,1.3
#1756,Fatih Tosyali,$1.3 B,52,steel,Turkey,1.3
#1756,Tran Dinh Long,$1.3 B,57,"steel, heavy industry",Vietnam,1.3
#1756,Tsai Ming-Kai,$1.3 B,68,semiconductors,Taiwan,1.3
#1756,Pavel Tykac,$1.3 B,54,coal mines,Czech Republic,1.3
#1756,Jayshree Ullal,$1.3 B,57,technology,United States,1.3
#1756,Wan Long,$1.3 B,77,food,China,1.3
#1756,Wang Muqing,$1.3 B,67,auto distribution,China,1.3
#1756,Wang Yong,$1.3 B,68,food sweeteners,China,1.3
#1756,Hope Welker,$1.3 B,32,trust fund,Australia,1.3
#1756,Wen Yibo,$1.3 B,52,wastewater treatment,China,1.3
#1756,Stephen T. Winn,$1.3 B,71,real estate services,United States,1.3
#1756,Gordon Wu,$1.3 B,83,real estate,Hong Kong,1.3
#1756,Wu Lanlan,$1.3 B,44,packaging,China,1.3
#1756,Xu Ziquan,$1.3 B,59,software,China,1.3
#1756,Yang Meirong,$1.3 B,-,education,China,1.3
#1756,Yang Tingdong,$1.3 B,58,brewery,China,1.3
#1756,You Xiaoping,$1.3 B,60,"chemicals, spandex",China,1.3
#1756,Yu Peidi,$1.3 B,58,real estate,Hong Kong,1.3
#1756,Yu Qibing,$1.3 B,52,glass,China,1.3
#1756,Yu Yunxin,$1.3 B,56,costume jewelry,China,1.3
#1756,Zan Shengda,$1.3 B,55,diversified,China,1.3
#1756,Zhang Guiping,$1.3 B,66,real estate,China,1.3
#1756,Zhao Weiguo,$1.3 B,51,IT products,China,1.3
#1756,Zheng Jianjiang,$1.3 B,57,electrical equipment,China,1.3
#1867,Hamad bin Jassim bin Jaber Al Thani,$1.2 B,58,investments,Qatar,1.2
#1867,Fawzi Al-Kharafi,$1.2 B,-,diversified,Kuwait,1.2
#1867,Mohannad Al-Kharafi,$1.2 B,-,diversified,Kuwait,1.2
#1867,Isak Andic,$1.2 B,64,fashion retail,Spain,1.2
#1867,Marc Andreessen,$1.2 B,46,venture capital investing,United States,1.2
#1867,Jose Maria Aristrain,$1.2 B,55,Steel,Spain,1.2
#1867,Thomas Bailey,$1.2 B,81,money management,United States,1.2
#1867,Harindarpal Banga,$1.2 B,67,commodities,India,1.2
#1867,Elena Baturina,$1.2 B,55,"investments, real estate",Russia,1.2
#1867,Eduardo Belmont Anderson,$1.2 B,72,cosmetics,Peru,1.2
#1867,Tomasz Biernacki,$1.2 B,45,supermarkets,Poland,1.2
#1867,Zadik Bino,$1.2 B,74,"banking, oil",Israel,1.2
#1867,Brett Blundy,$1.2 B,58,"retail, agribusiness",Australia,1.2
#1867,Henadiy Boholyubov,$1.2 B,56,"banking, investments",Ukraine,1.2
#1867,Charles Brandes,$1.2 B,75,money management,United States,1.2
#1867,Amit Burman,$1.2 B,48,consumer goods,India,1.2
#1867,Cai Dongqing,$1.2 B,49,animation,China,1.2
#1867,Chen Bo,$1.2 B,47,wind power generation,China,1.2
#1867,Cheng Wei,$1.2 B,35,ride-hailing service,China,1.2
#1867,Phongthep Chiaravanont,$1.2 B,66,diversified,Thailand,1.2
#1867,Kochouseph Chittilappilly,$1.2 B,67,manufacturing,India,1.2
#1867,Chu Jinfu,$1.2 B,61,electrical equipment,China,1.2
#1867,Eduardo Costantini,$1.2 B,71,real estate,Argentina,1.2
#1867,Sol Daurella,$1.2 B,52,Coca-Cola,Spain,1.2
#1867,Philip Day,$1.2 B,52,clothing retail,United Kingdom,1.2
#1867,D. Leopoldo Del Pino y Calvo-Sotelo,$1.2 B,55,construction,Spain,1.2
#1867,Norbert Dentressangle,$1.2 B,63,"transport, logistics",France,1.2
#1867,Beda Diethelm,$1.2 B,77,hearing aids,Switzerland,1.2
#1867,Mark Dixon,$1.2 B,59,office real estate,United Kingdom,1.2
#1867,Henry Engelhardt,$1.2 B,60,insurance,United States,1.2
#1867,Fang Hongbo,$1.2 B,51,home appliances,China,1.2
#1867,Gleb Fetisov,$1.2 B,52,investments,Russia,1.2
#1867,Donald Foss,$1.2 B,74,auto loans,United States,1.2
#1867,Robert Friedland,$1.2 B,67,mining,United States,1.2
#1867,Donald Friese,$1.2 B,77,manufacturing,United States,1.2
#1867,Fu Guangming,$1.2 B,64,poultry,China,1.2
#1867,Dan Gertler,$1.2 B,44,mining,Israel,1.2
#1867,Dennis Gillings,$1.2 B,74,drug testing,United Kingdom,1.2
#1867,Ryan Graves,$1.2 B,34,uber,United States,1.2
#1867,Gu Wei,$1.2 B,53,consumer electronics,China,1.2
#1867,Alfredo Harp Helu,$1.2 B,74,banking,Mexico,1.2
#1867,Gudrun Heine,$1.2 B,63,medical devices,Germany,1.2
#1867,Francis Holder,$1.2 B,77,bakeries,France,1.2
#1867,Hong Seok-Joh,$1.2 B,65,convenience stores,South Korea,1.2
#1867,Douglas Hsu,$1.2 B,75,diversified,Taiwan,1.2
#1867,Huang Jianrong,$1.2 B,60,minerals,China,1.2
#1867,"B. Wayne Hughes, Jr.",$1.2 B,57,storage facilities,United States,1.2
#1867,Daisy Igel,$1.2 B,90,"gas, petrochemicals",Brazil,1.2
#1867,Thomas James,$1.2 B,76,finance,United States,1.2
#1867,Jiang Ganjun,$1.2 B,54,home & office products,China,1.2
#1867,Jiang Zhaobai,$1.2 B,54,real estate,China,1.2
#1867,Jin Huiming,$1.2 B,65,real estate,China,1.2
#1867,Ajay Kalsi,$1.2 B,57,oil & gas,India,1.2
#1867,Helga Kellerhals,$1.2 B,78,electronics retailer,Germany,1.2
#1867,King Pak Fu,$1.2 B,48,real estate,Hong Kong,1.2
#1867,Sergei Kolesnikov,$1.2 B,46,building materials,Russia,1.2
#1867,Hemendra Kothari,$1.2 B,71,Financial Services,India,1.2
#1867,Eiichi Kuriwada,$1.2 B,71,package delivery,Japan,1.2
#1867,Guy Lalibert_,$1.2 B,58,Cirque du Soleil,Canada,1.2
#1867,Lee Hae-Jin,$1.2 B,50,Internet,South Korea,1.2
#1867,Michael Lee-Chin,$1.2 B,67,mutual funds,Canada,1.2
#1867,Li Guangyu,$1.2 B,54,education,China,1.2
#1867,Li Jun,$1.2 B,53,electronics,China,1.2
#1867,Li Rucheng,$1.2 B,67,apparel,China,1.2
#1867,Li Xuhui,$1.2 B,50,soy sauce maker,China,1.2
#1867,Lim Wee Chai,$1.2 B,60,rubber gloves,Malaysia,1.2
#1867,Liu Jiang,$1.2 B,50,gas,China,1.2
#1867,Liu Xuejing,$1.2 B,67,"copper, poultry",China,1.2
#1867,Liu Zhenguo,$1.2 B,53,sewage treatment,China,1.2
#1867,Lo Ka Shui,$1.2 B,71,real estate,Hong Kong,1.2
#1867,Lo Siu-tong,$1.2 B,88,"real estate, hotels",Hong Kong,1.2
#1867,Tobi Lutke,$1.2 B,37,e-commerce,Canada,1.2
#1867,Ma Yunsheng,$1.2 B,55,energy,China,1.2
#1867,Ziyavudin Magomedov,$1.2 B,49,"port, gas",Russia,1.2
#1867,Ana Maria Marcondes Penido Sant'Anna,$1.2 B,62,toll roads,Brazil,1.2
#1867,Terence (Terry) Matthews,$1.2 B,75,telecom,Canada,1.2
#1867,Gail Miller,$1.2 B,74,"basketball, car dealers",United States,1.2
#1867,Andrei Molchanov,$1.2 B,46,construction materials,Russia,1.2
#1867,Ni Zhaoxing,$1.2 B,62,real estate,China,1.2
#1867,Kentaro Ogawa,$1.2 B,69,restaurants,Japan,1.2
#1867,Erik Paulsson,$1.2 B,76,"construction, real estate",Sweden,1.2
#1867,Peng Hao,$1.2 B,51,electronics,China,1.2
#1867,Stefan Pierer,$1.2 B,61,automotive,Austria,1.2
#1867,Michael Price,$1.2 B,65,investments,United States,1.2
#1867,Clayton Riddell,$1.2 B,80,oil & gas,Canada,1.2
#1867,Boris Rotenberg,$1.2 B,61,"construction, pipes, chemicals",Russia,1.2
#1867,Igor Rybakov,$1.2 B,46,building materials,Russia,1.2
#1867,Stephen Saad,$1.2 B,53,pharmaceuticals,South Africa,1.2
#1867,K. Rai Sahi,$1.2 B,72,real estate,Canada,1.2
#1867,Airat Shaimiev,$1.2 B,56,"refinery, chemicals",Russia,1.2
#1867,Radik Shaimiev,$1.2 B,53,"refinery, chemicals",Russia,1.2
#1867,Shang Jiyong,$1.2 B,50,"tires, chemicals",China,1.2
#1867,Mikhail Shelkov,$1.2 B,50,titanium,Russia,1.2
#1867,S.D. Shibulal,$1.2 B,63,software services,India,1.2
#1867,Ron Sim,$1.2 B,59,retail,Singapore,1.2
#1867,Leonid Simanovsky,$1.2 B,68,investments,Russia,1.2
#1867,Basudeo Singh,$1.2 B,77,pharmaceuticals,India,1.2
#1867,Samprada Singh,$1.2 B,92,pharmaceuticals,India,1.2
#1867,Terry Snow,$1.2 B,74,"airports, real estate",Australia,1.2
#1867,Lynsi Snyder,$1.2 B,36,In-N-Out Burger,United States,1.2
#1867,Sybill Storz,$1.2 B,81,medical devices,Germany,1.2
#1867,Harjo Sutanto,$1.2 B,92,consumer goods,Indonesia,1.2
#1867,Yoshikazu Tanaka,$1.2 B,41,social network,Japan,1.2
#1867,Mehmet Sinan Tara,$1.2 B,60,construction,Turkey,1.2
#1867,Rit Thirakomen,$1.2 B,66,restaurants,Thailand,1.2
#1867,Tian Ming,$1.2 B,64,measuring instruments,China,1.2
#1867,Ion Tiriac,$1.2 B,79,"banking, insurance",Romania,1.2
#1867,Ivar Tollefsen,$1.2 B,56,Real estate,Norway,1.2
#1867,Mustafa Latif Topbas,$1.2 B,74,"food, retail",Turkey,1.2
#1867,Thomas Tull,$1.2 B,48,movies,United States,1.2
#1867,John Van Lieshout,$1.2 B,72,real estate,Australia,1.2
#1867,Wang Han,$1.2 B,30,airline,China,1.2
#1867,Wang Junjin,$1.2 B,49,airline,China,1.2
#1867,Wang Wenbiao,$1.2 B,61,"natural gas, fertilizers",China,1.2
#1867,"Alfred West, Jr.",$1.2 B,75,money management,United States,1.2
#1867,Wu Daohong,$1.2 B,52,energy services,China,1.2
#1867,Wu Yiling,$1.2 B,68,pharmaceuticals,China,1.2
#1867,Xiu Laigui,$1.2 B,63,pharmaceuticals,China,1.2
#1867,Xu Xiong,$1.2 B,46,driving schools,China,1.2
#1867,Xu Xudong,$1.2 B,48,auto parts,China,1.2
#1867,Xue Hua,$1.2 B,48,Agribusiness,China,1.2
#1867,Vadim Yakunin,$1.2 B,55,pharmacy,Russia,1.2
#1867,Yan Yude,$1.2 B,57,private schools,China,1.2
#1867,Yang Keng,$1.2 B,57,real estate,China,1.2
#1867,Yang Shaopeng,$1.2 B,60,Shipping,China,1.2
#1867,Zhang Cheng Fei,$1.2 B,50,paper & related products,China,1.2
#1867,Zhang Jingzhang,$1.2 B,82,precision machinery,China,1.2
#1867,Zhang Keqiang,$1.2 B,58,real estate,China,1.2
#1867,Zhang Xuanning,$1.2 B,48,retail,China,1.2
